r,L,M,S
404.5,0.00495951,0.00476617,0.083152
404.6,0.00502905,0.00483585,0.0844424
404.7,0.0050994,0.00490637,0.0857484
404.8,0.00517058,0.00497776,0.0870701
404.9,0.0052426,0.00505002,0.0884077
405.0,0.00531546,0.00512316,0.0897612
405.1,0.00538918,0.0051972,0.0911307
405.2,0.00546376,0.00527213,0.0925163
405.3,0.00553919,0.00534797,0.093918
405.4,0.00561549,0.00542472,0.095336
405.5,0.00569265,0.00550238,0.0967702
405.6,0.00577067,0.00558096,0.0982208
405.7,0.00584956,0.00566047,0.0996877
405.8,0.0059293,0.0057409,0.101171
405.9,0.00600991,0.00582227,0.102671
406.0,0.00609138,0.00590458,0.104188
406.1,0.00617371,0.00598783,0.105721
406.2,0.00625689,0.00607202,0.10727
406.3,0.00634093,0.00615717,0.108837
406.4,0.00642583,0.00624327,0.11042
406.5,0.00651157,0.00633032,0.11202
406.6,0.00659816,0.00641833,0.113637
406.7,0.0066856,0.00650731,0.115271
406.8,0.00677387,0.00659726,0.116921
406.9,0.00686298,0.00668817,0.118588
407.0,0.00695291,0.00678005,0.120273
407.1,0.00704367,0.0068729,0.121974
407.2,0.00713524,0.00696673,0.123692
407.3,0.00722763,0.00706154,0.125427
407.4,0.00732082,0.00715732,0.127179
407.5,0.0074148,0.00725408,0.128947
407.6,0.00750957,0.00735183,0.130733
407.7,0.00760512,0.00745055,0.132535
407.8,0.00770143,0.00755025,0.134355
407.9,0.00779851,0.00765093,0.136191
408.0,0.00789634,0.0077526,0.138044
408.1,0.0079949,0.00785524,0.139913
408.2,0.00809418,0.00795886,0.1418
408.3,0.00819419,0.00806346,0.143703
408.4,0.00829489,0.00816903,0.145622
408.5,0.00839627,0.00827558,0.147559
408.6,0.00849834,0.0083831,0.149511
408.7,0.00860106,0.0084916,0.15148
408.8,0.00870442,0.00860105,0.153466
408.9,0.00880841,0.00871147,0.155467
409.0,0.008913,0.00882286,0.157485
409.1,0.00901819,0.00893519,0.159519
409.2,0.00912396,0.00904848,0.161569
409.3,0.00923028,0.00916272,0.163635
409.4,0.00933713,0.0092779,0.165716
409.5,0.00944451,0.00939401,0.167814
409.6,0.00955237,0.00951105,0.169926
409.7,0.00966071,0.00962902,0.172055
409.8,0.00976951,0.00974791,0.174198
409.9,0.00987873,0.00986771,0.176356
410.0,0.00998835,0.00998841,0.17853
410.1,0.0100984,0.01011,0.180718
410.2,0.0102087,0.0102325,0.182921
410.3,0.0103195,0.0103559,0.185139
410.4,0.0104307,0.0104802,0.187372
410.5,0.0105422,0.0106054,0.189619
410.6,0.0106541,0.0107315,0.191882
410.7,0.0107663,0.0108586,0.194158
410.8,0.010879,0.0109865,0.19645
410.9,0.010992,0.0111154,0.198756
411.0,0.0111054,0.0112452,0.201077
411.1,0.0112192,0.0113759,0.203413
411.2,0.0113333,0.0115075,0.205763
411.3,0.0114479,0.0116401,0.208128
411.4,0.0115628,0.0117737,0.210507
411.5,0.0116781,0.0119082,0.212902
411.6,0.0117939,0.0120436,0.21531
411.7,0.01191,0.01218,0.217734
411.8,0.0120265,0.0123173,0.220172
411.9,0.0121434,0.0124556,0.222624
412.0,0.0122607,0.0125949,0.225091
412.1,0.0123784,0.0127352,0.227573
412.2,0.0124966,0.0128764,0.230069
412.3,0.0126152,0.0130187,0.23258
412.4,0.0127342,0.0131619,0.235106
